;Papel;Segmento;Cotação;FFO Yield;Dividend Yield;Dividendos;P/VP;Bola de neve;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média;Endereço
0;AAZQ11;Títulos e Val. Mob.;7,28;0,2068;0,014808;0,11;0,77;67;R$ 174 M;1277340.0;0;0,0;0,0;0,0;0,0;
7;AGRX11;Híbrido;9,76;0,1377;0,0128;0,12;0,97;82;R$ 174 M;292468.0;0;0,0;0,0;0,0;0,0;
12;ALZM11;Títulos e Val. Mob.;8,02;0,0722;0,010083;0,08;0,96;101;R$ 121 M;196437.0;0;0,0;0,0;0,0;0,0;
15;APTO11;Híbrido;9,54;0,1082;0,009125;0,09;0,94;107;R$ 44 M;24069.0;4;17627,9;1193,43;0,0677;0,0;"Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70  Jardim Paulista  Estado
de São Paulo,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado
de São Paulo"
19;ARRI11;Títulos e Val. Mob.;9,05;0,079;0,010283;0,09;1,03;101;R$ 138 M;447885.0;0;0,0;0,0;0,0;0,0;
33;BCFF11;Títulos e Val. Mob.;8,4;0,0964;0,008008;0,07;0,88;121;R$ 1 B;2646980.0;0;0,0;0,0;0,0;0,0;Avenida Das Nacoes Unidas, 14261, Sem Complemento, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000
38;BIME11;Híbrido;7,19;0,1272;0,011175;0,08;0,83;90;R$ 42 M;74689.0;3;302,06;0,0;0,0;0,0;Matrícula- 237.131 14º RI,2% - BRIO MULTI,14% - BRIO MULTI
60;BTCI11;Títulos e Val. Mob.;9,93;0,1128;0,009058;0,09;0,97;111;R$ 988 M;2267330.0;0;0,0;0,0;0,0;0,0;
74;CCME11;Outros;11,84;0,055;0,007183;0,09;1,11;132;R$ 802 M;38591.0;2;7638,65;401,89;0,0526;0,061500000000000006;Avenida Vieira De Carvalho, 99, Sem Complemento, Republica, Sao Paulo/SP, Brasil, 01210-010,Rua Casa Do Ator, 99, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04546-000
86;CPSH11;Shoppings;10,92;0,038;0,00865;0,09;0,95;122;R$ 697 M;1373460.0;5;919,22;46,77;0,0509;0,06860000000000001;Rua Goncalves Crespo, 78, Sem Complemento, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Rua Goncalves Crespo, 78, Sem Complemento, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Rodovia Castelo Branco, 0, Sem Complemento, Dona Catarina, Sao Roque/SP, Brasil, 18132-900,Avenida Praia De Belas, 1181, Sem Complemento, Praia De Belas, Porto Alegre/RS, Brasil, 90110-001,Avenida Washington Soares, 85, Sem Complemento, Edson Queiroz, Fortaleza/CE, Brasil, 60811-900
87;CPTR11;Títulos e Val. Mob.;8,24;0,1557;0,012108;0,1;0,84;83;R$ 340 M;1344260.0;0;0,0;0,0;0,0;0,0;
88;CPTS11;Títulos e Val. Mob.;8,32;0,0655;0,009125;0,08;0,93;105;R$ 2 B;8959370.0;0;0,0;0,0;0,0;0,0;
100;DCRA11;Títulos e Val. Mob.;8,32;0,1703;0,012275;0,1;0,87;84;R$ 56 M;120446.0;0;0,0;0,0;0,0;0,0;
107;DVFF11;Híbrido;7,53;0,0274;0,009242;0,07;0,83;108;R$ 82 M;42437.0;0;0,0;0,0;0,0;0,0;
113;EQIR11;Títulos e Val. Mob.;9,06;0,0707;0,010308;0,09;0,92;101;R$ 98 M;271275.0;0;0,0;0,0;0,0;0,0;
118;EXES11;Títulos e Val. Mob.;9,95;0,1056;0,0076;0,08;1,08;125;R$ 58 M;3677.0;0;0,0;0,0;0,0;0,0;
125;FGAA11;Híbrido;8,54;0,1402;0,012292;0,1;0,89;86;R$ 384 M;1367540.0;0;0,0;0,0;0,0;0,0;
146;GAME11;Outros;9,12;0,0706;0,009825;0,09;0,94;102;R$ 197 M;164649.0;0;0,0;0,0;0,0;0,0;
153;GGRC11;Logística;11,07;0,0866;0,008575;0,09;0,99;124;R$ 1 B;1378100.0;19;1062,62;107,81;0,1015;0,0;BR 153, nº 3469, Zona Urbana, Anápolis - GO,Rodovia BR 153, s/n, quadra AREA, lote 00C, anexo A, Jd. Paraíso I, Aparecida de Goiânia - GO,Avenida Amâncio Gaiolli, 1943 - Guarulhos - SP,Rua Antonio Felamingo, lote 6, quadra A - bairro Macuco, Valinhos-SP,Av. Maria Luiza Pompeo de Camargo, 333,Rodovia Federal BR 277, S/N KM 600+400, São Miguel do Iguaçu - PR,BR 153, nº 3469, Zona Urbana, Anápolis - GO,Rua Maria Rufino dos Santos Medeiros, 201 Distrito Industrial - João Pessoa - PB,Guabirova, Pelotas - RS,LOTE C123,Rodovia Palmiro Paes de Barros, 290, Vista Alegre  Cuiabá - MT,Rod. Celso Garcia Cid, 3577, Londrina-PR,Loteamento Polo Empresarial VTO Igarassu 1 - Igarassu - PE,Rua dos Portugueses,Rua Álvaro Camerin, nº 51, Distrito Industrial  Tietê - SP,Acesso pelo KM 117,5 Rodovia BR 101, Itajaí - SC,Avenida CTR Empresarial, KM 1.480 BR 497, Uberlândia-MG,BR 153, nº 3469, Zona Urbana, Anápolis - GO,Alameda das Aroreiras, nº 195, Casa Amarela, Betim - MG
156;GRWA11;Títulos e Val. Mob.;10,19;0,0761;0,011567;0,12;1,0;85;R$ 28 M;18961.0;0;0,0;0,0;0,0;0,0;
191;HREC11;Títulos e Val. Mob.;8,45;0,1211;0,009175;0,08;0,94;106;R$ 435 M;1035500.0;0;0,0;0,0;0,0;0,0;
200;IAAG11;Títulos e Val. Mob.;10,9;0,0911;0,007958;0,09;1,13;122;R$ 59 M;132143.0;0;0,0;0,0;0,0;0,0;
206;IDGR11;Híbrido;8,7;0,1602;0,0943;0,82;1,24;11;R$ 7 M;1576.0;2;13501,5;0,0;0,0;0,0;SPSH - SÃO PAULO SOUTH HOUSE - FII UNIDADES AUTÔNOMAS,STAY BATEL - FII UNIDADES AUTÔNOMAS
229;KISU11;Títulos e Val. Mob.;8,27;0,1715;0,008517;0,07;0,94;119;R$ 365 M;724920.0;0;0,0;0,0;0,0;0,0;
238;KNSC11;Títulos e Val. Mob.;9,1;0,0941;0,008267;0,08;1,02;114;R$ 1 B;4143520.0;0;0,0;0,0;0,0;0,0;
246;LIFE11;Outros;10,13;0,1316;0,011517;0,12;1,0;85;R$ 235 M;432150.0;0;0,0;0,0;0,0;0,0;
255;MANA11;Títulos e Val. Mob.;9,47;0,0703;0,010275;0,1;0,99;95;R$ 202 M;671630.0;0;0,0;0,0;0,0;0,0;
261;MCHY11;Títulos e Val. Mob.;9,55;0,0408;0,011917;0,11;0,98;87;R$ 1 B;4477530.0;0;0,0;0,0;0,0;0,0;
274;MXRF11;Híbrido;10,16;0,0895;0,009717;0,1;1,04;102;R$ 3 B;10693200.0;0;0,0;0,0;0,0;0,0;Rua Franz Schubert, 184, Jardim Europa, São Paulo,Avenida José Caballero, 283, Vila Bastos, Santo André,Rua Maria Monteiro, 861, Campinas, São Paulo
276;NCHB11;Títulos e Val. Mob.;9,33;0,1332;0,010892;0,1;0,94;94;R$ 142 M;244797.0;0;0,0;0,0;0,0;0,0;
277;NCRA11;Títulos e Val. Mob.;8,5;0,1975;0,012792;0,11;0,81;78;R$ 37 M;119742.0;0;0,0;0,0;0,0;0,0;
278;NCRI11;Títulos e Val. Mob.;8,5;0,1265;0,010517;0,09;0,83;95;R$ 33 M;2070.0;0;0,0;0,0;0,0;0,0;
287;OIAG11;Híbrido;7,97;0,1603;0,0138;0,11;0,82;73;R$ 71 M;217192.0;0;0,0;0,0;0,0;0,0;
309;PORD11;Títulos e Val. Mob.;8,93;0,1231;0,010158;0,09;0,93;100;R$ 332 M;531539.0;0;0,0;0,0;0,0;0,0;
334;RBRF11;Títulos e Val. Mob.;7,52;0,0923;0,007158;0,05;0,85;151;R$ 1 B;3018570.0;0;0,0;0,0;0,0;0,0;
341;RBRX11;Títulos e Val. Mob.;9,11;0,0554;0,010583;0,1;0,94;92;R$ 268 M;1371990.0;0;0,0;0,0;0,0;0,0;
345;RBVO11;;19,69;0,0156;0,0239;0,47;1,96;42;R$ 10 M;280641.0;0;0,0;0,0;0,0;0,0;
365;RURA11;Títulos e Val. Mob.;9,4;0,122;0,010992;0,1;0,94;95;R$ 1 B;3594510.0;0;0,0;0,0;0,0;0,0;
367;RZAG11;Títulos e Val. Mob.;8,33;0,2366;0,012742;0,11;0,87;76;R$ 566 M;1799630.0;0;0,0;0,0;0,0;0,0;
387;SNAG11;Híbrido;10,03;0,1;0,0101;0,1;1,0;101;R$ 501 M;1941210.0;3;139,96;8,92;0,0638;0,0;Rodovia MT-130/ Primavera do Leste - MT,Rodovia MT-130/ Primavera do Leste - MT,Rodovia BR-163/ Sorriso - MT
397;SPXS11;Híbrido;9,46;0,0848;0,010092;0,1;0,98;95;R$ 190 M;1489990.0;0;0,0;0,0;0,0;0,0;
420;VCRI11;Títulos e Val. Mob.;8,71;0,1128;0,009733;0,08;0,91;109;R$ 154 M;253566.0;0;0,0;0,0;0,0;0,0;
423;VGHF11;Híbrido;8,79;0,0434;0,010608;0,09;0,96;98;R$ 1 B;4122460.0;0;0,0;0,0;0,0;0,0;
424;VGIA11;Títulos e Val. Mob.;7,97;0,1708;0,012892;0,1;0,83;80;R$ 689 M;2763570.0;0;0,0;0,0;0,0;0,0;
427;VGIR11;Títulos e Val. Mob.;10,05;0,1351;0,010575;0,11;1,03;92;R$ 1 B;3808820.0;0;0,0;0,0;0,0;0,0;
429;VIFI11;Títulos e Val. Mob.;7,94;0,1002;0,008625;0,07;0,87;114;R$ 64 M;102174.0;0;0,0;0,0;0,0;0,0;
433;VIUR11;Outros;6,86;0,1192;0,009583;0,07;0,77;99;R$ 184 M;477030.0;8;2838,19;315,82;0,11130000000000001;0,0311;Rua Candido Benício, 1671, Jacarepaguá, Rio de Janeiro - RJ,Rua Oswaldo Cruz (Rua Grande), 415, Centro, São Luis  MA,Rua Santos Dumont, 888, Niterói, Canoas - RS,Avenida Dr. Cardoso de Melo, 1.200, Vila Olímpia, São Paulo - SP,Rua Orfanotrofio, 555, Porto Alegre, Porto Alegre - RS,Rua Candido Benício, 1671, Jacarepaguá, Rio de Janeiro - RJ,Estrada Municipal UNICAMP-Telebrás km 1, Cidade Universitária, Campinas - SP,Rua Luis Otavio, 1.313, Taquaral, Campinas - SP
444;VVCR11;Títulos e Val. Mob.;9,96;0,0477;0,009767;0,1;0,91;100;R$ 74 M;268310.0;0;0,0;0,0;0,0;0,0;
449;WHGR11;Híbrido;9,66;0,108;0,009767;0,09;0,99;108;R$ 258 M;539616.0;0;0,0;0,0;0,0;0,0;
453;XPCA11;Títulos e Val. Mob.;7,89;0,1584;0,012783;0,1;0,83;79;R$ 359 M;1421180.0;0;0,0;0,0;0,0;0,0;
461;XPSF11;Títulos e Val. Mob.;7,63;0,1098;0,009217;0,07;0,9;109;R$ 330 M;574651.0;0;0,0;0,0;0,0;0,0;
